instance,time,solution len,solution
0,0.000895,5,0 1 3 5 6
instance,time,solution len,solution
1,0.000621,4,3 5 7 9
instance,time,solution len,solution
2,0.000676,5,0 1 2 6 9
instance,time,solution len,solution
3,0.000559,4,1 3 5 7
instance,time,solution len,solution
4,0.000584,5,0 3 4 6 7
instance,time,solution len,solution
5,0.00065,5,0 1 4 5 7
instance,time,solution len,solution
6,0.000523,2,1 8
instance,time,solution len,solution
7,0.000604,5,0 1 3 4 5
instance,time,solution len,solution
8,0.000582,5,0 3 4 7 8
instance,time,solution len,solution
9,0.000548,4,2 5 7 8
avg_time,0.0006242
