instance,time,solution len,solution
0,0.014158,17,0 2 3 5 8 10 15 16 18 19 20 22 26 27 28 35 44
instance,time,solution len,solution
1,0.01201,16,3 5 9 10 11 12 14 21 23 25 31 37 38 42 43 46
instance,time,solution len,solution
2,0.015419,19,0 2 4 6 7 10 11 12 22 24 25 26 27 29 31 34 40 46 47
instance,time,solution len,solution
3,0.011903,14,0 1 6 8 10 12 14 15 16 17 24 43 44 46
instance,time,solution len,solution
4,0.012667,18,0 2 3 4 5 7 10 13 15 16 21 22 23 25 33 34 41 44
instance,time,solution len,solution
5,0.014146,16,4 5 10 18 19 21 23 24 25 28 29 30 36 43 48 49
instance,time,solution len,solution
6,0.013176,18,0 1 3 5 6 8 10 11 12 17 18 21 23 35 40 47 48 49
instance,time,solution len,solution
7,0.012645,15,1 6 9 11 12 13 20 22 24 25 28 29 41 43 45
instance,time,solution len,solution
8,0.012958,19,0 1 2 4 6 10 13 14 16 17 22 25 28 35 37 40 44 46 49
instance,time,solution len,solution
9,0.01264,18,0 2 3 5 6 7 12 16 17 28 34 35 36 37 39 40 44 46
avg_time,0.0131722
