instance,time
0,1.647719
solution,2,6,7,8,13,14,15,17
instance,time
1,3.217705
solution,0,1,2,4,9,10,12,14,16,18
instance,time
2,2.886061
solution,2,4,7,10,11,12,14,15,16
instance,time
3,2.619354
solution,1,3,6,7,8,10,15,16,17
instance,time
4,2.629071
solution,1,4,6,7,8,9,12,13,18
instance,time
5,3.059512
solution,0,1,2,5,9,11,12,14,15,16
instance,time
6,2.982395
solution,0,1,2,3,4,6,9,13,15,18
instance,time
7,0.886966
solution,0,3,9,12,14,16,17
instance,time
8,2.124097
solution,0,1,3,4,8,10,12,13,14
instance,time
9,3.333142
solution,0,2,3,5,9,10,13,15,17,18
avg_time,2.5386022
