instance,time
0,0.302077
solution,2,3,8,19
instance,time
1,1.022359
solution,1,2,3,6,10,11,17
instance,time
2,1.493876
solution,0,1,3,6,7,11,14,18
instance,time
3,0.99128
solution,1,2,3,4,5,8,9
instance,time
4,0.439164
solution,5,9,14,16,17
instance,time
5,0.400049
solution,3,5,12,13,14
instance,time
6,0.307624
solution,2,8,17,19
instance,time
7,0.963184
solution,1,3,7,13,14,16,18
instance,time
8,0.332308
solution,0,1,7,8,9
instance,time
9,0.458118
solution,0,2,3,4,8,13
avg_time,0.6710039
