instance,time,solution len,solution
0,0.368111,8,2 6 7 8 13 14 15 17
instance,time,solution len,solution
1,0.357056,10,3 5 6 7 8 11 13 15 17 19
instance,time,solution len,solution
2,0.343427,9,2 4 7 10 12 14 15 17 19
instance,time,solution len,solution
3,0.311638,9,1 4 6 7 8 10 15 16 17
instance,time,solution len,solution
4,0.445262,9,1 4 6 7 8 9 12 16 18
instance,time,solution len,solution
5,0.48673,10,0 1 2 5 9 11 12 14 15 16
instance,time,solution len,solution
6,0.328386,10,5 7 8 10 11 12 14 16 17 19
instance,time,solution len,solution
7,0.339883,7,0 6 9 12 14 16 17
instance,time,solution len,solution
8,0.350681,9,2 5 6 7 9 11 15 17 19
instance,time,solution len,solution
9,0.413779,10,0 2 3 5 9 13 14 15 17 18
avg_time,0.37449530000000003
avg_length,9.1
instance,time,solution len,solution
0,0.405314,8,2 6 7 8 13 14 15 17
instance,time,solution len,solution
1,0.340906,10,0 1 3 9 10 11 12 14 16 18
instance,time,solution len,solution
2,0.358618,9,2 4 7 10 11 12 14 15 16
instance,time,solution len,solution
3,0.365814,9,1 3 6 7 8 10 15 16 17
instance,time,solution len,solution
4,0.366829,9,1 4 6 7 8 9 12 13 18
instance,time,solution len,solution
5,0.31087,10,1 2 5 6 9 11 12 14 15 16
instance,time,solution len,solution
6,0.414245,10,0 1 2 3 4 6 9 13 15 19
instance,time,solution len,solution
7,0.403208,7,0 3 9 12 14 16 17
instance,time,solution len,solution
8,0.369501,9,0 1 3 4 8 13 14 15 16
instance,time,solution len,solution
9,0.385428,10,1 4 6 7 8 9 12 14 16 19
avg_time,0.3720733
avg_length,9.1
instance,time,solution len,solution
0,0.411337,8,2 6 7 8 13 14 15 17
instance,time,solution len,solution
1,0.327308,10,0 1 3 9 10 11 12 14 16 18
instance,time,solution len,solution
2,0.357769,9,2 4 7 10 12 14 15 16 19
instance,time,solution len,solution
3,0.350714,9,1 3 6 7 8 10 15 16 17
instance,time,solution len,solution
4,0.397376,9,1 4 6 7 8 9 12 16 18
instance,time,solution len,solution
5,0.402872,10,0 3 4 7 8 10 13 17 18 19
instance,time,solution len,solution
6,0.418539,10,0 1 2 3 4 6 9 13 15 18
instance,time,solution len,solution
7,0.361963,7,0 3 9 12 14 16 17
instance,time,solution len,solution
8,0.386865,9,0 1 3 4 8 13 14 15 16
instance,time,solution len,solution
9,0.386171,10,1 4 6 7 8 11 12 14 16 19
avg_time,0.3800914
avg_length,9.1
instance,time,solution len,solution
0,0.447922,8,2 6 7 8 13 14 15 17
instance,time,solution len,solution
1,0.413589,10,2 5 6 7 8 11 13 15 17 19
instance,time,solution len,solution
2,0.437385,9,2 4 7 10 11 12 14 15 16
instance,time,solution len,solution
3,0.376921,9,1 4 6 7 8 10 15 16 17
instance,time,solution len,solution
4,0.456694,9,1 4 6 7 9 12 16 17 18
instance,time,solution len,solution
5,0.389452,10,3 4 6 7 8 10 13 17 18 19
instance,time,solution len,solution
6,0.37664,10,0 1 2 3 4 6 9 13 15 19
instance,time,solution len,solution
7,0.355324,7,6 8 9 12 14 16 17
instance,time,solution len,solution
8,0.356619,9,2 5 6 7 9 10 17 18 19
instance,time,solution len,solution
9,0.356437,10,0 2 3 5 10 11 13 15 17 18
avg_time,0.3966983
avg_length,9.1
instance,time,solution len,solution
0,0.391736,8,2 6 7 8 13 14 15 17
instance,time,solution len,solution
1,0.34423,10,0 1 3 9 10 11 12 14 16 18
instance,time,solution len,solution
2,0.34134,9,2 4 7 10 12 14 15 16 19
instance,time,solution len,solution
3,0.303896,9,1 3 6 7 8 14 15 16 17
instance,time,solution len,solution
4,0.258357,9,1 4 6 7 9 12 16 17 18
instance,time,solution len,solution
5,0.253769,10,3 4 6 7 8 10 13 17 18 19
instance,time,solution len,solution
6,0.267859,10,5 7 8 10 11 12 14 16 17 19
instance,time,solution len,solution
7,0.240822,7,0 3 9 12 14 16 17
instance,time,solution len,solution
8,0.233189,9,2 5 6 7 9 10 17 18 19
instance,time,solution len,solution
9,0.231937,10,1 4 6 7 8 10 11 12 16 19
avg_time,0.2867135
avg_length,9.1
