instance,time,solution len,solution
0,0.270331,4,2 3 8 19
instance,time,solution len,solution
1,0.276617,7,1 7 10 11 13 14 17
instance,time,solution len,solution
2,0.246294,8,0 3 6 8 11 13 14 18
instance,time,solution len,solution
3,0.24756,7,6 9 13 14 16 18 19
instance,time,solution len,solution
4,0.311365,5,5 9 14 16 17
instance,time,solution len,solution
5,0.365779,5,3 8 12 13 14
instance,time,solution len,solution
6,0.439201,4,2 8 17 19
instance,time,solution len,solution
7,0.327534,7,1 3 7 13 16 17 18
instance,time,solution len,solution
8,0.299883,5,1 5 7 8 9
instance,time,solution len,solution
9,0.292624,6,0 2 4 5 8 18
avg_time,0.3077188
avg_length,5.8
instance,time,solution len,solution
0,0.257886,4,2 3 8 19
instance,time,solution len,solution
1,0.29166,7,1 2 3 7 10 11 17
instance,time,solution len,solution
2,0.277612,8,0 1 3 6 7 11 14 18
instance,time,solution len,solution
3,0.252143,7,6 10 12 15 17 18 19
instance,time,solution len,solution
4,0.286935,5,5 9 14 16 17
instance,time,solution len,solution
5,0.269309,5,3 5 12 13 14
instance,time,solution len,solution
6,0.274526,4,2 8 17 19
instance,time,solution len,solution
7,0.3211,7,1 3 11 13 14 16 18
instance,time,solution len,solution
8,0.283905,5,1 5 7 8 9
instance,time,solution len,solution
9,0.336065,6,0 3 4 6 8 13
avg_time,0.28511410000000004
avg_length,5.8
instance,time,solution len,solution
0,0.318129,4,2 3 8 19
instance,time,solution len,solution
1,0.361059,7,1 2 3 6 10 11 17
instance,time,solution len,solution
2,0.301875,8,0 3 7 10 11 14 18 19
instance,time,solution len,solution
3,0.264863,7,6 13 14 15 17 18 19
instance,time,solution len,solution
4,0.335802,5,5 9 14 16 17
instance,time,solution len,solution
5,0.347485,5,3 8 12 13 14
instance,time,solution len,solution
6,0.36567,4,2 8 17 19
instance,time,solution len,solution
7,0.349344,7,1 3 11 13 14 16 18
instance,time,solution len,solution
8,0.312812,5,1 5 7 8 9
instance,time,solution len,solution
9,0.323926,6,0 2 4 5 8 18
avg_time,0.3280965
avg_length,5.8
instance,time,solution len,solution
0,0.296266,4,2 3 8 19
instance,time,solution len,solution
1,0.368702,7,1 2 7 10 11 14 17
instance,time,solution len,solution
2,0.324941,8,1 4 8 9 10 12 15 17
instance,time,solution len,solution
3,0.283551,7,4 5 6 9 12 15 19
instance,time,solution len,solution
4,0.33782,5,5 9 14 16 17
instance,time,solution len,solution
5,0.361033,5,3 5 12 13 14
instance,time,solution len,solution
6,0.342095,4,2 8 17 19
instance,time,solution len,solution
7,0.376091,7,1 3 7 13 16 17 18
instance,time,solution len,solution
8,0.35669,5,1 4 7 8 9
instance,time,solution len,solution
9,0.336204,6,0 2 4 5 14 18
avg_time,0.3383393
avg_length,5.8
instance,time,solution len,solution
0,0.302047,4,2 3 8 19
instance,time,solution len,solution
1,0.285032,7,3 4 7 12 15 16 19
instance,time,solution len,solution
2,0.313861,8,0 3 6 7 11 13 14 18
instance,time,solution len,solution
3,0.207477,7,2 12 14 15 17 18 19
instance,time,solution len,solution
4,0.273648,5,5 9 14 16 17
instance,time,solution len,solution
5,0.328486,5,3 5 12 13 14
instance,time,solution len,solution
6,0.285696,4,2 8 17 19
instance,time,solution len,solution
7,0.263647,7,1 3 7 13 16 17 18
instance,time,solution len,solution
8,0.410157,5,1 5 7 8 9
instance,time,solution len,solution
9,0.386956,6,0 3 4 10 13 14
avg_time,0.3057007
avg_length,5.8
