instance,time,solution len,solution
0,0.062757,3,2 3 9
instance,time,solution len,solution
1,0.078612,4,1 3 4 7
instance,time,solution len,solution
2,0.076606,4,1 5 7 8
instance,time,solution len,solution
3,0.063717,3,1 3 9
instance,time,solution len,solution
4,0.078799,3,1 2 4
instance,time,solution len,solution
5,0.07843,3,1 5 6
instance,time,solution len,solution
6,0.084087,4,6 7 8 9
instance,time,solution len,solution
7,0.054581,4,0 2 3 7
instance,time,solution len,solution
8,0.060172,3,0 1 5
instance,time,solution len,solution
9,0.053006,3,2 3 4
avg_time,0.0690767
avg_length,3.4
instance,time,solution len,solution
0,0.085517,3,2 3 9
instance,time,solution len,solution
1,0.062535,4,1 3 7 9
instance,time,solution len,solution
2,0.054219,4,1 3 4 6
instance,time,solution len,solution
3,0.052366,3,3 7 9
instance,time,solution len,solution
4,0.063727,3,1 2 4
instance,time,solution len,solution
5,0.052425,3,2 3 5
instance,time,solution len,solution
6,0.099102,4,1 2 3 4
instance,time,solution len,solution
7,0.074954,4,0 1 3 7
instance,time,solution len,solution
8,0.057573,3,0 1 5
instance,time,solution len,solution
9,0.05086,3,2 3 4
avg_time,0.0653278
avg_length,3.4
instance,time,solution len,solution
0,0.073931,3,2 3 9
instance,time,solution len,solution
1,0.069273,4,1 3 7 9
instance,time,solution len,solution
2,0.056173,4,1 4 6 9
instance,time,solution len,solution
3,0.057816,3,3 7 9
instance,time,solution len,solution
4,0.05543,3,1 2 4
instance,time,solution len,solution
5,0.049288,3,3 6 9
instance,time,solution len,solution
6,0.060286,4,2 6 7 8
instance,time,solution len,solution
7,0.058215,4,2 3 4 6
instance,time,solution len,solution
8,0.068875,3,0 4 5
instance,time,solution len,solution
9,0.059124,3,1 2 3
avg_time,0.0608411
avg_length,3.4
instance,time,solution len,solution
0,0.076974,3,2 3 9
instance,time,solution len,solution
1,0.074625,4,1 3 7 9
instance,time,solution len,solution
2,0.080517,4,1 3 4 6
instance,time,solution len,solution
3,0.070109,3,1 3 9
instance,time,solution len,solution
4,0.081566,3,1 2 4
instance,time,solution len,solution
5,0.050266,3,1 2 5
instance,time,solution len,solution
6,0.057667,4,1 3 4 9
instance,time,solution len,solution
7,0.066525,4,1 3 6 7
instance,time,solution len,solution
8,0.068496,3,0 4 5
instance,time,solution len,solution
9,0.061098,3,1 2 3
avg_time,0.06878429999999999
avg_length,3.4
instance,time,solution len,solution
0,0.073455,3,2 3 9
instance,time,solution len,solution
1,0.066542,4,1 3 4 7
instance,time,solution len,solution
2,0.054133,4,1 4 6 7
instance,time,solution len,solution
3,0.054874,3,1 3 8
instance,time,solution len,solution
4,0.052166,3,1 2 4
instance,time,solution len,solution
5,0.035653,3,2 3 9
instance,time,solution len,solution
6,0.051834,4,1 3 4 9
instance,time,solution len,solution
7,0.048253,4,0 2 3 4
instance,time,solution len,solution
8,0.059511,3,0 4 5
instance,time,solution len,solution
9,0.050485,3,1 2 3
avg_time,0.0546906
avg_length,3.4
