instance,time,solution len,solution
0,0.471932,4,4 8 12 17
instance,time,solution len,solution
1,0.407269,4,1 5 13 15
instance,time,solution len,solution
2,0.443467,4,1 8 10 18
instance,time,solution len,solution
3,0.396717,4,4 8 10 13
instance,time,solution len,solution
4,0.421233,4,5 12 16 19
instance,time,solution len,solution
5,0.439057,4,0 1 5 13
instance,time,solution len,solution
6,0.425151,4,1 4 5 16
instance,time,solution len,solution
7,0.373654,4,8 10 16 17
instance,time,solution len,solution
8,0.535269,3,10 15 19
instance,time,solution len,solution
9,0.43802,4,5 12 14 18
avg_time,0.4351769
avg_nodes,3.9
