1,93,1928
2,96 93,1536
3,96 64 93,1218
4,96 66 64 93,960
5,96 64 66 55 93,758
6,96 64 66 47 55 93,619
7,96 64 66 47 84 55 93,496
8,96 64 66 47 84 87 55 93,391
9,96 64 66 47 50 84 87 55 93,314
10,96 64 66 71 47 50 84 87 55 93,245
11,96 64 66 71 47 49 50 84 87 55 93,198
12,96 64 66 71 47 49 50 84 87 55 60 93,155
13,96 64 66 71 47 49 50 84 87 55 56 60 93,119
14,96 64 66 71 47 49 50 18 84 87 55 56 60 93,93
15,96 64 66 71 47 49 50 18 84 53 87 55 56 60 93,71
16,96 64 66 71 77 47 49 50 18 84 53 87 55 56 60 93,55
17,96 64 66 1 71 77 47 49 50 18 84 53 87 55 56 60 93,42
18,96 64 66 1 71 77 47 49 50 18 84 53 87 55 56 17 60 93,32
19,1 17 18 28 47 49 50 53 55 56 60 64 66 71 77 84 87 93 96,23
20,1 14 17 18 28 47 49 50 53 55 56 60 64 66 71 77 84 87 93 96,15
21,1 14 15 17 18 28 47 49 50 53 55 56 60 64 66 71 77 84 87 93 96,11
22,1 14 15 17 18 24 28 47 49 50 53 55 56 60 64 66 71 77 84 87 93 96,8
23,1 14 15 17 18 20 24 28 47 49 50 53 55 56 60 64 66 71 77 84 87 93 96,6
24,1 14 15 17 18 20 24 28 29 47 49 50 53 55 56 60 64 66 71 77 84 87 93 96,4
25,1 14 15 17 18 20 24 28 29 34 47 49 50 53 55 56 60 64 66 71 77 84 87 93 96,2
26,1 14 15 17 18 20 22 24 28 29 34 47 49 50 53 55 56 60 64 66 71 77 84 87 93 96,1
27,1 14 15 17 18 20 22 24 28 29 31 34 47 49 50 53 55 56 60 64 66 71 77 84 87 93 96,0
