1,96,1927
2,96 39,1491
3,96 85 39,1177
4,96 91 85 39,927
5,96 39 85 24 91,731
6,96 39 85 24 91 95,577
7,96 39 85 24 26 91 95,452
8,96 39 81 85 24 26 91 95,345
9,96 39 78 81 85 24 26 91 95,271
10,96 39 78 81 85 24 89 26 91 95,210
11,96 39 78 81 85 21 24 89 26 91 95,166
12,96 34 39 78 81 85 21 24 89 26 91 95,125
13,96 34 38 39 78 81 85 21 24 89 26 91 95,92
14,96 34 58 38 39 78 81 85 21 24 89 26 91 95,68
15,96 33 34 58 38 39 78 81 85 21 24 89 26 91 95,51
16,96 33 34 58 38 39 27 78 81 85 21 24 89 26 91 95,36
17,96 33 34 58 38 39 27 78 81 85 21 53 24 89 26 91 95,22
18,96 33 34 58 38 39 27 78 81 85 21 53 24 89 26 91 86 95,9
19,6 21 24 26 27 33 34 38 39 53 58 78 81 85 86 89 91 95 96,6
20,6 21 24 26 27 33 34 38 39 53 58 70 78 81 85 86 89 91 95 96,3
21,6 21 24 26 27 33 34 38 39 53 56 58 70 78 81 85 86 89 91 95 96,1
22,2 6 21 24 26 27 33 34 38 39 53 56 58 70 78 81 85 86 89 91 95 96,0
