instance,time,solution len,solution
0,0.880783,8,2 6 7 8 13 14 15 17
instance,time,solution len,solution
1,1.491757,10,0 1 2 4 9 10 12 14 16 18
instance,time,solution len,solution
2,1.437604,9,2 4 7 10 11 12 14 15 16
instance,time,solution len,solution
3,1.241518,9,1 3 6 7 8 10 15 16 17
instance,time,solution len,solution
4,1.317387,9,1 4 6 7 8 9 12 13 18
instance,time,solution len,solution
5,1.391975,10,0 1 2 5 9 11 12 14 15 16
instance,time,solution len,solution
6,1.489423,10,0 1 2 3 4 6 9 13 15 18
instance,time,solution len,solution
7,0.538999,7,0 3 9 12 14 16 17
instance,time,solution len,solution
8,1.213638,9,0 1 3 4 8 10 12 13 14
instance,time,solution len,solution
9,1.778602,10,0 2 3 5 9 10 13 15 17 18
avg_time,1.2781686
