instance,time,solution len,solution
0,0.000477,3,2 3 9
instance,time,solution len,solution
1,0.00052,4,1 3 4 7
instance,time,solution len,solution
2,0.000437,4,0 5 7 8
instance,time,solution len,solution
3,0.000282,3,1 3 8
instance,time,solution len,solution
4,0.00027,3,0 6 9
instance,time,solution len,solution
5,0.000257,3,1 2 5
instance,time,solution len,solution
6,0.000407,4,0 2 6 8
instance,time,solution len,solution
7,0.000345,4,0 1 3 4
instance,time,solution len,solution
8,0.00022,3,0 1 5
instance,time,solution len,solution
9,0.00029,3,1 2 3
avg_time,0.0003505
