instance,time
0,6.255975
solution,1,7,10,15,19,21,28,39,41,46
instance,time
1,6.356148
solution,0,1,6,16,30,33,39,41,43,44,46,49
instance,time
2,6.406784
solution,0,2,6,12,17,19,23,24,46
instance,time
3,6.311881
solution,6,14,15,33,38,39,43,44,49
instance,time
4,6.349232
solution,2,5,8,21,25,38,41,42,43,44
instance,time
5,5.884983
solution,3,4,5,7,29,32,43,44
instance,time
6,6.26163
solution,9,13,15,22,33,42,45,46,47
instance,time
7,6.360044
solution,5,8,14,15,21,24,29,35,36,43,49
instance,time
8,5.887384
solution,3,5,16,19,20,22,35,43,49
instance,time
9,6.324156
solution,7,9,21,23,28,31,32,41,44,48
avg_time,6.2398217
