instance,time
0,60.370939
solution,0,5,12,13,15,21,27,29,32,34,36,37,42,44,46,47,48,53,55,60,61,64,67,72,73,78,80,81,83,86,90,92,97,99
instance,time
1,62.635192
solution,0,2,5,6,8,13,17,18,19,20,21,23,25,29,31,37,38,39,41,53,58,65,67,70,71,73,74,77,78,79,81,83,85,89,91,93,95
instance,time
2,61.173064
solution,7,9,10,11,13,16,21,24,25,26,27,30,34,35,37,41,46,47,49,60,61,65,71,76,80,82,83,84,86,87,93,96,97
instance,time
3,67.567655
solution,2,3,4,7,13,16,17,18,22,25,27,28,31,33,34,35,41,44,45,48,52,53,56,58,60,61,64,66,68,69,71,74,77,90,94,95,97
instance,time
4,63.114924
solution,1,5,7,8,10,11,12,14,19,24,25,26,30,33,34,36,39,40,45,49,53,58,59,61,62,70,79,80,81,82,85,89,93,98
instance,time
5,59.194261
solution,1,2,4,11,14,19,20,24,28,29,31,32,34,35,38,39,42,44,45,48,51,53,56,60,61,64,66,67,71,76,78,81,82,84,86,88,91,92,96,98
instance,time
6,62.152845
solution,1,2,6,7,8,13,14,19,20,21,27,28,29,30,32,33,42,44,47,48,55,59,61,63,65,66,67,68,69,73,76,77,80,82,83,86,92,93,94,97,98
instance,time
7,59.090932
solution,4,5,7,10,13,17,19,20,24,27,38,39,41,45,50,54,56,59,61,62,64,66,67,71,72,74,75,81,86,88,91,92,93
instance,time
8,56.277864
solution,3,8,10,11,12,13,17,19,22,23,24,25,26,29,32,34,38,39,40,41,42,47,59,66,69,71,72,76,80,82,83,86,88,92,93,96,97,99
instance,time
9,58.477382
solution,3,4,7,11,12,14,16,21,24,26,28,31,34,39,40,42,45,46,52,54,55,58,60,64,67,71,73,74,75,77,80,83,84,90,91,92,94,98
avg_time,61.0055058
