instance,time
0,464.35671
solution,20,50,55,60,61,71,81,137,146,147,167,189,195,196
instance,time
1,478.163046
solution,3,12,14,22,38,40,48,51,53,97,125,136,169,199
instance,time
2,482.680519
solution,28,55,61,63,73,116,125,130,141,152,160,163,184,198
instance,time
3,479.939308
solution,6,30,32,33,45,85,103,106,135,136,144,151,176,181,197
instance,time
4,475.79138
solution,2,15,16,22,31,38,59,63,81,102,107,148,167,183
instance,time
5,477.495596
solution,2,6,14,32,54,104,126,133,156,165,187,188,193,194
instance,time
6,479.776231
solution,16,25,29,30,66,69,83,87,99,100,128,135,138,158,167
instance,time
7,469.684146
solution,8,24,37,46,47,48,59,66,101,109,115,128,168,199
instance,time
8,482.471339
solution,15,16,50,87,89,106,109,117,123,138,145,147,164,184,194
instance,time
9,484.713205
solution,0,10,16,23,24,42,45,47,52,82,99,104,122,143,155
avg_time,477.507148
