instance,time
0,993.934101
solution,2,19,36,53,102,104,108,145,190,196
instance,time
1,959.976412
solution,37,115,118,124,131,147,178,199,226,227,246
instance,time
2,1016.265892
solution,79,117,136,154,157,162,208,228,238,239,248
instance,time
3,1049.715708
solution,20,47,79,105,130,165,175,202,207,232
instance,time
4,881.806024
solution,7,72,88,99,159,179,184,191,201,249
instance,time
5,1057.469406
solution,19,43,80,125,128,129,176,182,189,228
instance,time
6,981.998566
solution,4,32,62,65,83,95,113,133,151,196
instance,time
7,984.080932
solution,3,55,82,95,102,202,218,229,231,242,248
instance,time
8,939.000752
solution,11,35,67,91,105,133,151,188,205,226
instance,time
9,903.846867
solution,7,45,52,89,119,126,137,152,158,172,226
avg_time,976.809466
