instance,time
0,63.102312
solution,0,3,13,14,17,21,24,30,44,52,55,63,70,71,76,77,79,82
instance,time
1,65.49644
solution,2,3,11,13,20,26,42,43,47,55,60,65,66,75,78,79,82,84,87,96
instance,time
2,73.339376
solution,5,6,7,11,15,16,18,23,44,54,57,63,73,75,76,79,85,89,94
instance,time
3,79.929243
solution,2,17,27,32,33,39,41,43,47,54,60,62,63,71,73,80,86,89,95,97
instance,time
4,76.815207
solution,1,4,12,14,17,19,20,28,31,41,47,49,51,57,69,77,83,84,86
instance,time
5,67.197708
solution,10,12,13,16,18,25,32,33,35,38,45,56,58,65,68,70,75,80,88,94
instance,time
6,63.953634
solution,3,4,24,27,28,31,33,42,44,48,50,51,54,59,63,88,92,94,97
instance,time
7,75.795561
solution,2,4,5,27,31,33,34,39,44,46,48,53,56,62,64,86,89,95
instance,time
8,75.555789
solution,3,6,7,21,26,46,53,55,57,58,64,74,76,79,83,84,86,89
instance,time
9,72.764696
solution,2,5,20,22,23,30,34,36,43,49,50,53,54,63,64,74,75,87,89,92,95
avg_time,71.3949966
