instance,time
0,545.633795
solution,12,15,29,33,37,56,80,95,97,98,109,115,120,130,135,140,146,151,163,177,184,192
instance,time
1,546.803507
solution,11,18,21,24,41,51,52,66,69,88,96,111,115,128,133,145,150,181,194,199
instance,time
2,555.182293
solution,9,14,24,33,61,66,70,71,83,92,96,97,108,136,142,149,170,171,181,183,192,198
instance,time
3,545.591955
solution,11,19,28,29,59,82,83,102,110,115,132,145,149,153,156,159,166,181,184,194
instance,time
4,586.417469
solution,18,34,44,45,55,59,77,99,112,128,132,135,136,151,164,165,172,176,181,190,199
instance,time
5,540.921029
solution,1,3,7,13,14,29,33,34,44,62,65,70,84,87,98,115,141,149,156,167,169,180
instance,time
6,567.547102
solution,1,19,31,32,36,52,54,56,65,69,102,108,109,122,140,155,156,170,173,174,180
instance,time
7,540.877337
solution,4,15,22,57,61,70,90,93,114,121,125,129,130,133,148,153,156,180,182,186,189,197
instance,time
8,590.874161
solution,11,12,26,36,55,60,77,98,107,128,133,135,136,148,160,161,165,167,172,174,183,195
instance,time
9,643.798771
solution,16,24,38,68,82,89,96,108,109,128,129,166,168,170,171,181,182,185,197
avg_time,566.3647419
