instance,time
0,0.397674
solution,0,4,5,9,12,17
instance,time
1,0.486402
solution,1,4,7,8,9,14
instance,time
2,0.507209
solution,3,6,10,12,13,14,17
instance,time
3,0.465238
solution,5,7,8,10,14,16,18
instance,time
4,0.427888
solution,1,3,4,9,11,12
instance,time
5,0.495223
solution,0,5,9,10,14,18,19
instance,time
6,0.462767
solution,0,3,5,12,14,17
instance,time
7,0.423169
solution,1,6,10,11,14
instance,time
8,0.518133
solution,0,1,9,14,16,19
instance,time
9,0.527395
solution,3,6,7,8,10,14,18
avg_time,0.47110979999999997
