instance,time
0,1.197279
solution,3,4,8,12,13,17,20
instance,time
1,1.276233
solution,1,6,17,20,23,29
instance,time
2,1.298612
solution,13,15,16,20,23,26
instance,time
3,1.294757
solution,6,16,17,22,23,26,28
instance,time
4,1.142497
solution,1,9,12,19,21,28
instance,time
5,1.201848
solution,0,6,9,12,14,20,21
instance,time
6,1.229153
solution,2,3,5,14,19,22,26
instance,time
7,1.352108
solution,0,4,7,10,13,15,23
instance,time
8,1.387831
solution,1,6,8,9,14,19,25,28
instance,time
9,1.22806
solution,1,4,8,15,21,25
avg_time,1.2608378
